name,desc,img,type,mag,size,dist,const,catalog
M16,"These towering tendrils of cosmic dust and gas sit at the heart of M16, or the Eagle Nebula. The aptly named Pillars of Creation, featured in this stunning Hubble image, are part of an active star-forming region within the nebula and hide newborn stars in their wispy columns.  Although this is not Hubble’s first image of this iconic feature of the Eagle Nebula, it is the most detailed. The blue colors in the image represent oxygen, red is sulfur, and green represents both nitrogen and hydrogen. The pillars are bathed in the scorching ultraviolet light from a cluster of young stars located just outside the frame. The winds from these stars are slowly eroding the towers of gas and dust.  Stretching roughly 4 to 5 light-years, the Pillars of Creation are a fascinating but relatively small feature of the entire Eagle Nebula, which spans 70 by 55 light-years. The nebula, discovered in 1745 by the Swiss astronomer Jean-Philippe Loys de Chéseaux, is located 7,000 light-years from Earth in the constellation Serpens. With an apparent magnitude of 6, the Eagle Nebula can be spotted through a small telescope and is best viewed during July. A large telescope and optimal viewing conditions are necessary to resolve the Pillars of Creation.",M16,Cluster with Nebula,6,7,7000,Serpens,NGC 6611
M17,"Illuminated by ultraviolet radiation from young, massive stars on the right side of this photograph, M17, also known as the Omega Nebula or Swan Nebula, is one of the largest star-forming regions in the Milky Way galaxy. Hubble’s stunning image of a central portion of the nebula has been colorized to highlight certain wavelengths of light. Green represents oxygen while red reveals hydrogen and infrared light.  The Omega Nebula was discovered in 1745 by the Swiss astronomer Jean-Philippe Loys de Chéseaux. It is located 5,500 light-years from Earth in the constellation Sagittarius. The nebula has an apparent magnitude of 6 and can be seen with a pair of binoculars. M17, which appears near M16 and M18 in the sky, is best viewed on clear nights in August.  M17 contains one of our galaxy’s youngest star clusters, at only 1 million years old. However, many of the young stars in this cluster are impossible to see because of the gas and dust that surrounds them. The powerful radiation from the young stars evaporates and erodes the dense clouds of cold gas in which new stars form. One such pocket of gas is seen at the center of the brightest region of the nebula (near the bottom of this image) and is about 10 times larger than our solar system. Other dense pockets of gas have formed the remarkable dark features jutting inward from the bottom left corner of the image.",M17,Cluster with Nebula,6,11,5500,Sagittarius,NGC 6618
M18,"Messier 18 (M18) is a relatively dim open star cluster located in the constellation Sagittarius.  The cluster lies at an approximate distance of 4,900 light years, or 1,500 parsecs, from Earth and has an apparent magnitude of 7.5. Its designation in the New General Catalogue is NGC 6613.  Messier 18 may form a binary star cluster with the nearby NGC 6618, embedded within Messier 17 (the Omega Nebula). Scientists have speculated that the proximity of the two clusters may suggest that they had formed together.",M35,Open Cluster,6.9,9,4900,Sagittarius,NGC 6613
M19,"M19 was discovered by Charles Messier in 1764. The cluster is located 28,500 light-years from Earth in the constellation Ophiuchus and is most easily observed during July. It has an apparent magnitude of 7.7 and can be spotted through a pair of binoculars, though it will only appear as a faint patch of light. Large telescopes will resolve M19’s individual stars.  The stars in globular clusters orbit about a common center of gravity, so these clusters are usually spherical. Some globular clusters, like M19, have a slightly elongated shape. This cluster is only 6,500 light-years away from the center of our Milky Way galaxy, so the gravity and tidal forces from the massive galactic center could be causing M19 to stretch out.",M19,Globular Cluster,6.8,5.3,28700,Ophiuchus,NGC 6273
M20,"Discovered by Charles Messier in 1764, M20 is a star-forming nebula located 9,000 light-years away from Earth in the constellation Sagittarius. Also known as the Trifid Nebula, M20 has an apparent magnitude of 6.3 and can be spotted with a small telescope. It is best observed during August.  This eerie Hubble image features the center of the Trifid Nebula and the three wing-like bands of thick dust for which the nebula was named. A group of recently formed, massive, bright stars toward the center of the nebula is easily visible. These stars are releasing a flood of ultraviolet radiation that dramatically influences the structure and evolution of the surrounding nebula. Star formation is no longer occurring in the immediate vicinity of this group of bright stars because their intense radiation has blown away the gas and dust from which new stars are made.  The image’s stair-step appearance results from the design of the camera used to take the exposures. The camera consisted of four light detectors, one of which provided a higher resolution but had a smaller field of view than the other three. Because the detector with the higher resolution did not cover as much area as the others, black regions were left when the images from all four detectors were combined into one picture. ",M20,Cluster with Nebula,6.3,28,5200,Sagittarius,NGC 6514
M21,"Messier 21 (M21) is an open cluster located in the southern constellation Sagittarius. It has an apparent magnitude of 6.5.  The cluster lies at an approximate distance of 4,250 light years from Earth. Its designation in the New General Catalogue is NGC 6531.  M21 consists mainly of small, faint stars, but is also home to a few blue giants. The cluster contains about 57 confirmed members, but is pretty densely packed. The stars of M21 are believed to be members of the Sagittarius OB1 Association, a group of massive O and B-type stars that share a common motion, age and origin. The eight of the 10 brightest stars in the cluster are spectroscopic binaries with periods shorter than 6 days.  Messier 21 is only 4.6 million years old, which makes it relatively young for an open star cluster. It is only 10 percent of the age of Messier 45, the famous Pleiades cluster in Taurus, and 1 percent the age of the Sun.",M35,Open Cluster,5.9,13,4250,Sagittarius,NGC 6531
M22,"While scanning the night sky in search of Saturn in August of 1665, the German amateur astronomer Abraham Ihle made an amazing discovery: the globular cluster M22. It was one of the first objects of its kind ever detected. Located 10,000 light-years from Earth in the constellation Sagittarius, the cluster’s relatively bright apparent magnitude of 5.1 makes it a popular target for today’s amateur astronomers. In ideal conditions, M22 can be seen with the naked eye. The best time to observe the cluster is during August.  Containing some of the oldest known stars, globular clusters are popular objects of study for astronomers. M22 has some additional features that are particularly fascinating: two stellar-mass black holes, and six planet-sized objects that are not orbiting stars. The cluster is also one of only four of its kind ever found to host a planetary nebula — a short-lived gaseous shell ejected by a star at the end of its life.",M5,Globular Cluster,5.1,17,10600,Sagittarius,NGC 6656
M23,"Messier 23 (M23) is a bright, large open star cluster located in the constellation Sagittarius.  The cluster lies at a distance of 2,150 light years, or 659 parsecs, from Earth and has an apparent magnitude of 6.9. It has the designation NGC 6494 in the New General Catalogue.  Messier 23 has a radius of 15 to 20 light years and contains 176 confirmed members. Most stars in the cluster are between 10th and 13th magnitude, and about 100 stars are brighter than magnitude 13.5. M23 has an estimated age of at least 220 million years, which makes it one of the older known open clusters in our galaxy.       Messier 23 can easily be seen in binoculars and is best viewed in small and moderate-sized telescopes. 6-inch and 8-inch telescopes will resolve dozens of the cluster’s stars.",M35,Open Cluster,5.5,27,2150,Sagittarius,NGC 6494
M24,"Messier 24 (M24), also known as the Sagittarius Star Cloud or Delle Caustiche, is a large Milky Way star cloud in Sagittarius constellation.  The Sagittarius Star Cloud lies at an approximate distance of 10,000 light years from Earth and has an apparent magnitude of 4.6. It has the designation IC 4715 in the Index Catalogue of Nebulae and Clusters of Stars.  Messier 24 is about 600 light years wide and lies in the Sagittarius Arm of our galaxy, the next inner spiral arm to our own. It occupies an area 90 arc minutes in apparent diameter and contains different types of objects, including stars and clusters that lie at a distance of 10,000 to 16,000 light years from Earth, which gives the cloud a significant depth. Messier 24 is the densest concentration of individual stars that can be seen in binoculars. About 1,000 stars are visible in a single field of view. The star cloud is best seen in binoculars and telescopes with a field of view of at least 2 degrees, at low magnification.",M35,Star Cloud with Cluster,11.1,5,10000,Sagittarius,NGC 6603
M25,"Messier 25 (M25) is a bright, prominent open cluster located in Sagittarius constellation. The cluster lies at a distance of 2,000 light years from Earth and has an apparent magnitude of 4.6. Its designation in the Index Catalogue is IC 4725.  Messier 25 is about 19 light years across, covering an area of 32 arc minutes in the sky. It is one of the Messier objects that are visible to the naked eye under good conditions, with clear, dark skies and no light pollution. The cluster appears brighter and larger than the nearby Messier 23 and is positioned only 3.5 degrees to the west of the much larger Messier 24, the Sagittarius Star Cloud.  Messier 25 is best seen in small telescopes. The brightest stars are resolved in 10×50 binoculars, but the cluster only appears as a dim patch of light. Small telescopes will reveal a large group of 30 stars, most of them white in colour, while larger instruments (8-inch and up) will show about 60 stars of different colours.  The best time of year to observe M25 is the summer, when Sagittarius can be found over the southern horizon in the evening.",M25,Open Cluster,14.5,0.8,2060,Sagittarius,IC 4725
M26,"Messier 26 (M26) is an open cluster located in the constellation Scutum. The cluster has an apparent magnitude of 8.0.  Messier 26 lies at an approximate distance of 5,000 light years from Earth. Its designation in the New General Catalogue is NGC 6694. The cluster occupies an area of 15 arc minutes, corresponding to a linear diameter of 22 light years.  The brightest star in M26 has a visual magnitude of 11.9 and the spectral classification B8. The estimated age of the cluster is 89 million years. M26 can be a challenge to find and does not provide as impressive a view as the nearby Wild Duck Cluster (M11). Messier 26 can be found by first locating the bright Altair in the constellation Aquila and extending the line formed by the stars that mark the celestial eagle’s back in the direction of the Teapot in Sagittarius. The cluster is not visible to the naked eye, but will appear as a compression of stars in 10×50 binoculars. Small telescopes will reveal a compact star cluster, and 6-inch and 8-inch telescopes will resolve about 25 brightest stars. The cluster contains a total of about 90 members. The best time of year to observe it is from June to September.",M35,Open Cluster,8,15,5000,Scutuum,NGC 6694
M27,"Spotted by Charles Messier in 1764, M27 was the first planetary nebula ever discovered. The term “planetary nebula” is a bit of a misnomer based on the nebula’s round, planet-like appearance when viewed through smaller telescopes. The nebula is the result of an old star that has shed its outer layers in a glowing display of color. In Hubble’s image, which shows a small portion of M27, blue represents oxygen, green represents hydrogen, and red indicates sulfur and nitrogen.  M27 hosts many knots of gas and dust. As depicted in Hubble’s image, some look like fingers pointing at the central star, located just off the upper left of the image; others are isolated clouds, some with and some without tails. Their sizes typically range from 17 billion to 56 billion kilometers, which is several times larger than the distance from the sun to Pluto. Each contains as much mass as three Earths.  These dense knots of gas and dust seem to be a natural part of the evolution of planetary nebulas. They form when the stellar winds are not powerful enough to blow away a larger clump of matter but are able to blow away smaller particles, creating a trail behind the clump. The shapes of these knots change as the nebula expands. Similar knots have been discovered in other nearby planetary nebulas that are all part of the same evolutionary scheme.  Also known as the Dumbbell Nebula, M27 resides more than 1,200 light-years away in the constellation Vulpecula. With an apparent magnitude of 7.5, the nebula can be spotted with a small telescope most easily in September. ",M27,Planetary Nebula,7.6,5.8,1360,Vulpecula,NGC 6853
M28,"M28 is a globular cluster located 17,900 light-years away from Earth in the constellation Sagittarius. It was discovered by Charles Messier in 1764. With an apparent magnitude of 7.7, the cluster appears as a faint patch of light through a pair of binoculars. Large telescopes can resolve its individual stars more effectively. The month of August is the best time to view M28.  The cluster is most notable for being the first of its kind known to contain a millisecond pulsar: PSR B1821–24. This dense neutron star rotates rapidly (about once every three milliseconds) and emits radiation from its poles, which sweeps past Earth as the star spins, much like a beam of light from a lighthouse. This makes it appear to be pulsing to observers on Earth. PSR B1821–24 was discovered in 1986 using a radio telescope in England called the Lovell Telescope.",M5,Globular Cluster,6.8,15,17900,Sagittarius,NGC 6626
M29,"Messier 29 (M29) is an open cluster located in the constellation Cygnus, the Swan. The cluster has an apparent magnitude of 7.1.  Messier 29 is too faint to be spotted by the naked eye, but can be seen in binoculars. It is best observed in telescopes at the lowest powers. The cluster lies at an approximate distance of 4,000 light years from Earth. It has the designation NGC 6913 in the New General Catalogue. Messier 29 is relatively small, occupying an area of 7 arc minutes in the sky, or a quarter the size of the full Moon. The cluster has a linear diameter of only 11 light years.",M29,Open Cluster,6.6,7,4000,Cygnus,NGC 6913
M30,"M30 was discovered by Charles Messier in 1764. It is located roughly 28,000 light-years from Earth in the constellation Capricornus. It has an apparent magnitude of 7.7 and can be seen through a pair of binoculars. M30 is best observed during September. Although globular clusters such as M30 are mainly populated by old stars, the density of the stellar swarm leads to some old stars apparently reclaiming their youth as “blue stragglers.” Using observations from Hubble, astronomers have identified two types of blue stragglers in M30: those that form in near head-on collisions between two stars and those that are in binary systems where one star siphons hydrogen from its companion.  ",M5,Globular Cluster,7.2,8.9,29400,Capricornus,NGC 7099
M31,"Assembled from a total of 7,398 exposures taken over 411 individual pointings of the telescope, this image of our nearest major galactic neighbor, M31, is the largest Hubble mosaic to date. The 1.5 billion pixels in the mosaic reveal over 100 million stars and thousands of star clusters embedded in a section of the pancake-shaped disk of M31, also known as the Andromeda galaxy. Though the galaxy is over 2 million light-years away, Hubble is powerful enough to resolve individual stars in this 61,000-light-year-long stretch of the disk. It’s like photographing a beach and resolving individual grains of sand.  Hubble traces densely packed stars extending from the innermost hub of the galaxy, seen at left. Moving out from this central galactic bulge, the panorama sweeps across lanes of stars and dust to the sparser outer disk. Cooler, yellowish stars dominate the center of the galaxy, toward the lower left. The blue, ring-like feature that wraps from the upper left to the lower right is a spiral arm with numerous clusters of young, blue stars and star-forming regions. The dark silhouettes trace out complex dust structures.  M31 is located in the constellation Andromeda and is best observed in November. Boasting an apparent magnitude of 3.1, the galaxy can be seen with the naked eye, even in areas with moderate light pollution. Because it is such an easily observed feature in the night sky, it is impossible to say who discovered the Andromeda galaxy. However, Persian astronomer Abd al-rahman al-Sufi’s The Book of Fixed Stars from the year 964 contains the first known report of the object.",M31,Galaxy,4.3,189.1,254000000,Andromeda,NGC 224
M32,"Hubble has captured nearly 8,000 blue stars swirling around the core of M32 like a blizzard of snowflakes. This elliptical galaxy is located 2.5 million light-years from Earth in the constellation Andromeda and is one of two satellite galaxies orbiting M31, the Andromeda galaxy.  The first ultraviolet observations of elliptical galaxies showed that they were surprisingly bright when viewed in ultraviolet light. There is evidence that the ultraviolet light comes from a population of extremely hot, helium-burning stars at a late stage in their lives. Unlike the sun, which burns hydrogen into helium, these old stars exhausted their central hydrogen long ago and now burn helium into heavier elements. M32 was discovered by the French astronomer Guillaume Le Gentil in 1749 and is best observed in November. The galaxy has an apparent magnitude of 8.1, and can be seen using a medium-sized telescope. It is relatively easy to locate, as it falls in the same field of view as M31, but a large telescope is needed to resolve any detail beyond a spot of light.",M105,Galaxy,9.1,8.5,249000000,Andromeda,NGC 221
M33,"Spiral galaxy M33 is located in the triangle-shaped constellation Triangulum, earning it the nickname the Triangulum galaxy. About half the size of our Milky Way galaxy, M33 is the third-largest member of our Local Group of galaxies following the Andromeda galaxy (M31) and the Milky Way. Comprised of 54 separate Hubble fields of view, this image is the largest high-resolution mosaic of M33 assembled to date by any observatory. It resolves 25 million individual stars in a 14,000-light-year-wide region spanning the center of the galaxy.  Blue-colored regions scattered throughout the image reveal numerous sites of rapid star birth in M33. In fact, Hubble’s observations reveal that the Triangulum galaxy’s star formation rate is ten times higher than the average found in the Andromeda galaxy, previously surveyed by Hubble in similar detail. A bright blue patch in the lower left of this image, called NGC 604, is the largest star-forming region in M33 and one of the largest stellar nurseries in the entire Local Group.  The Triangulum galaxy’s orderly spiral structure displays few signs of interactions with nearby galaxies. However, that could change in the future. Only slightly farther away from us than the Andromeda galaxy, about 3 million light-years from Earth, M33 is a suspected gravitational companion to Andromeda, and both galaxies are moving toward our own. M33 could become a third party involved in the impending collision between the Andromeda and Milky Way galaxies more than 4 billion years from now.  M33 has a relatively bright apparent magnitude of 5.7, making it one of the most distant objects that keen-eyed observers can view with the unaided eye (under exceptionally clear and dark skies). Although a telescope will start to reveal some of M33’s spiral features, the diffuse galaxy is actually easiest to examine with low magnification and a wide field of view, such as through binoculars. It is best observed in October.  Although others may have viewed the galaxy earlier, Charles Messier was the first to catalog M33 after observing it in August 1764. In the 1920s, astronomer Edwin Hubble studied dozens of variable stars (those that periodically change brightness) in M33, which helped him to estimate the object’s distance and prove that M33 is not a nebula within our own galaxy, as previously suspected, but actually a separate galaxy outside our own.",M33,Galaxy,6.2,68.7,2500000,Triangulum,NGC 598
